Day,Day_month,Month,Year,TSVALUE_UPDATED
1,1-Jan,Jan,1977,0
2,2-Jan,Jan,1977,0
3,3-Jan,Jan,1977,0
4,4-Jan,Jan,1977,0
5,5-Jan,Jan,1977,0
6,6-Jan,Jan,1977,0
7,7-Jan,Jan,1977,0
8,8-Jan,Jan,1977,0
9,9-Jan,Jan,1977,0
10,10-Jan,Jan,1977,0
11,11-Jan,Jan,1977,0
12,12-Jan,Jan,1977,0
13,13-Jan,Jan,1977,0
14,14-Jan,Jan,1977,0
15,15-Jan,Jan,1977,0
16,16-Jan,Jan,1977,0
17,17-Jan,Jan,1977,0
18,18-Jan,Jan,1977,0
19,19-Jan,Jan,1977,0
20,20-Jan,Jan,1977,0
21,21-Jan,Jan,1977,0
22,22-Jan,Jan,1977,0
23,23-Jan,Jan,1977,0
24,24-Jan,Jan,1977,0
25,25-Jan,Jan,1977,0
26,26-Jan,Jan,1977,0
27,27-Jan,Jan,1977,0
28,28-Jan,Jan,1977,0
29,29-Jan,Jan,1977,0
30,30-Jan,Jan,1977,0
31,31-Jan,Jan,1977,0
1,1-Feb,Feb,1977,0
2,2-Feb,Feb,1977,0
3,3-Feb,Feb,1977,0
4,4-Feb,Feb,1977,0
5,5-Feb,Feb,1977,0
6,6-Feb,Feb,1977,0
7,7-Feb,Feb,1977,0
8,8-Feb,Feb,1977,0
9,9-Feb,Feb,1977,0
10,10-Feb,Feb,1977,0
11,11-Feb,Feb,1977,0
12,12-Feb,Feb,1977,0
13,13-Feb,Feb,1977,0
14,14-Feb,Feb,1977,0
15,15-Feb,Feb,1977,0
16,16-Feb,Feb,1977,0
17,17-Feb,Feb,1977,0
18,18-Feb,Feb,1977,0
19,19-Feb,Feb,1977,0
20,20-Feb,Feb,1977,0
21,21-Feb,Feb,1977,0
22,22-Feb,Feb,1977,0
23,23-Feb,Feb,1977,0
24,24-Feb,Feb,1977,0
25,25-Feb,Feb,1977,0
26,26-Feb,Feb,1977,0
27,27-Feb,Feb,1977,0
28,28-Feb,Feb,1977,0
1,1-Mar,Mar,1977,0
2,2-Mar,Mar,1977,0
3,3-Mar,Mar,1977,0
4,4-Mar,Mar,1977,0
5,5-Mar,Mar,1977,0
6,6-Mar,Mar,1977,0
7,7-Mar,Mar,1977,0
8,8-Mar,Mar,1977,0
9,9-Mar,Mar,1977,0
10,10-Mar,Mar,1977,0
11,11-Mar,Mar,1977,0
12,12-Mar,Mar,1977,0
13,13-Mar,Mar,1977,0
14,14-Mar,Mar,1977,0
15,15-Mar,Mar,1977,0
16,16-Mar,Mar,1977,0
17,17-Mar,Mar,1977,0
18,18-Mar,Mar,1977,0
19,19-Mar,Mar,1977,0
20,20-Mar,Mar,1977,0
21,21-Mar,Mar,1977,0
22,22-Mar,Mar,1977,0
23,23-Mar,Mar,1977,0
24,24-Mar,Mar,1977,0
25,25-Mar,Mar,1977,0
26,26-Mar,Mar,1977,0
27,27-Mar,Mar,1977,0
28,28-Mar,Mar,1977,0
29,29-Mar,Mar,1977,0
30,30-Mar,Mar,1977,0
31,31-Mar,Mar,1977,0
1,1-Apr,Apr,1977,0
